index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
768,02-06-1905,Still Life with Woodpecker,Tom Robbins,eng,Excellent,4.04,56802,genre fiction,346.84,0,2.99,887,"Amazon Digital Services,  Inc.",29808
769,26-06-1905,Those Who Save Us,Jenna Blum,en-US,Excellent,4.12,68480,genre fiction,114.84,0,0.99,890,"Amazon Digital Services,  Inc.",29808
770,27-06-1905,The Broker,John Grisham,eng,Intermediate,3.77,65428,genre fiction,114.84,68.904,0.99,892,"Amazon Digital Services,  Inc.",29592
771,03-07-1905,Across the Universe,Beth Revis,eng,Intermediate,3.78,94176,genre fiction,462.84,0,3.99,892,"Amazon Digital Services,  Inc.",29376
772,31-05-1905,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,en-US,Excellent,4.03,61238,nonfiction,1042.84,625.704,8.99,893,"Amazon Digital Services,  Inc.",29160
773,26-06-1905,Blood Rites,Jim Butcher,eng,Excellent,4.33,79627,nonfiction,1041.68,625.008,8.98,894,"Amazon Digital Services,  Inc.",28944
774,25-04-1905,The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal",en-US,Excellent,4.09,92916,genre fiction,1506.84,904.104,12.99,894,Simon and Schuster Digital Sales Inc,28944
775,05-07-1905,The Silent Wife,A.S.A. Harrison,eng,Novice,3.3,60323,nonfiction,784.16,470.496,6.76,897,"Amazon Digital Services,  Inc.",28728
776,03-07-1905,How to Be a Woman,Caitlin Moran,eng,Intermediate,3.73,70446,genre fiction,346.84,0,2.99,898,"Amazon Digital Services,  Inc.",28512
777,08-07-1905,A Court of Mist and Fury,Sarah J. Maas,eng,Famous,4.72,108384,genre fiction,1158.84,695.304,9.99,900,Simon and Schuster Digital Sales Inc,28512
778,02-07-1905,Life,Keith Richards,en-GB,Intermediate,3.84,60409,genre fiction,926.84,556.104,7.99,900,Random House LLC,28512
779,30-06-1905,Unaccustomed Earth,Jhumpa Lahiri,eng,Excellent,4.11,60126,genre fiction,458.85,0,3.99,903,"Amazon Digital Services,  Inc.",28296
780,20-06-1905,The Pilot's Wife,Anita Shreve,eng,Intermediate,3.5,71777,genre fiction,1367.35,820.41,11.89,904,Simon and Schuster Digital Sales Inc,28296
781,07-06-1905,White Noise,Don DeLillo,eng,Intermediate,3.86,55678,genre fiction,573.85,0,4.99,905,"Amazon Digital Services,  Inc.",28296
782,14-06-1905,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,eng,Famous,4.42,66079,genre fiction,343.85,0,2.99,907,"Amazon Digital Services,  Inc.",2943
783,01-02-1905,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,Charles Darwin,eng,Intermediate,3.97,64162,genre fiction,1033.85,620.31,8.99,909,HarperCollins Publishers,2943
784,25-06-1905,Blankets,Craig Thompson,eng,Excellent,4.06,70454,genre fiction,343.85,0,2.99,909,"Amazon Digital Services,  Inc.",2943
785,30-06-1905,The Story of Edgar Sawtelle,David Wroblewski,eng,Intermediate,3.6,70382,nonfiction,343.85,0,2.99,910,"Amazon Digital Services,  Inc.",2943
786,22-06-1905,Drowning Ruth,Christina Schwarz,eng,Intermediate,3.73,67768,genre fiction,573.85,0,4.99,911,"Amazon Digital Services,  Inc.",2916
787,24-05-1905,Post Office,Charles Bukowski,en-US,Excellent,4.01,59295,nonfiction,343.85,206.31,2.99,913,HarperCollins Publishers,2916
788,14-06-1905,All the Pretty Horses,Cormac McCarthy,eng,Intermediate,3.97,68451,genre fiction,458.85,0,3.99,914,"Amazon Digital Services,  Inc.",2916
